ENTRY NAME,CODE,PUBLICATION,WEBSERVER,LINK,FOLDER1,CATEGORY1,SUBCATEGORY1,SUBSUBCATEGORY1,DESCRIPTION,GITHUB_STARS,LAST_COMMIT,LAST_COMMIT_AGO,LICENSE,CITATIONS,PAGE_ICON
AMPL,https://github.com/ATOMScience-org/AMPL,https://doi.org/10.1021/acs.jcim.9b01053,,,ML+AI,Automatic Model Selection,,,"The ATOM Modeling PipeLine (AMPL) is an open-source, modular, extensible software pipeline for building and sharing models to advance in silico drug discovery, extending the functionality of DeepChem and supporting an array of machine learning and molecular featurization tools.",136.0,09/2024,0 months ago,,56.0,material/auto-fix
CHVS,https://github.com/Saeedmomo/Consensus_Holistic_Virtual_Screening,,,,ML+AI,Automatic Model Selection,,,"This repository contains Python code for model evaluation in regression tasks, exploring various regression models and helping select the best-performing model for your dataset using PCA and Mutual Information for feature selection.",2.0,06/2024,3 months ago,,,material/auto-fix
PREFER,https://github.com/rdkit/PREFER,https://doi.org/10.1039/C8SC04175J,,,ML+AI,Automatic Model Selection,,,"The PREFER framework automates the evaluation of different combinations of molecular representations and machine learning models for predicting molecular properties, utilizing AutoSklearn for model selection and hyperparameter tuning.",23.0,05/2023,15 months ago,,310.0,material/auto-fix
ROBERT,https://github.com/jvalegre/robert,https://doi.org/10.26434/chemrxiv-2023-k994h.,,,ML+AI,Automatic Model Selection,,,,27.0,08/2024,0 months ago,,0.0,material/auto-fix
SPOC,https://github.com/WhitestoneYang/spoc,https://doi.org/10.1002/cphc.202200255).,,,ML+AI,Automatic Model Selection,,,"An integrated Python package for molecular descriptor generation, data processing, model training, and hyper-parameter optimization, aimed at facilitating the development of predictive models in the field of cheminformatics.",8.0,01/2024,7 months ago,,0.0,material/auto-fix
TDC,https://github.com/mims-harvard/TDC,https://doi.org/10.7910/DVN/21LKWG):,,,ML+AI,Automatic Model Selection,,,,980.0,09/2024,0 months ago,,0.0,material/auto-fix
CS231n: Convolutional Neural Networks for Visual Recognition,,https://cs231n.github.io/,,,ML+AI,Courses,,,,,,,,,material/school
AI4Chemistry,,,,https://schwallergroup.github.io/ai4chem_course/,ML+AI,Courses,,,open courses - training in ML and AI (standalone),,,,,,material/school
BigChem,,,,http://bigchem.eu/alllectures,ML+AI,Courses,,,,,,,,,material/school
Machine Learning,,,,https://dmol.pub/index.html,ML+AI,Courses,,,Deep learning for molecules (standalone),,,,,,material/school
Machine Learning,,,,https://mattmazur.com/2015/03/17/a-step-by-step-backpropagation-example/,ML+AI,Courses,,,Backpropagation (standalone),,,,,,material/school
Machine Learning in Drug Design - 2023,https://github.com/gmum/mldd23,,,,ML+AI,Courses,,,"This repository contains course materials for ""Machine Learning in Drug Design"" taught at Jagiellonian University in 2023, hosted by the GMUM machine learning research group. It includes lab materials, lecture slides, and notes covering various topics related to machine learning applications in drug design",20.0,05/2023,15 months ago,,,material/school
Machine Learning in Drug Design - UMWPL2021,https://github.com/gmum/umwpl2021,,,,ML+AI,Courses,,,"Similar to the 2023 course, this repository hosts materials for the course ""Machine Learning in Drug Design"" taught at Jagiellonian University, covering various topics with labs and providing environment setup instructions for Python.",10.0,02/2022,31 months ago,,,material/school
ML,,,,https://sites.google.com/view/ml-basics/home,ML+AI,Courses,,,machine learning (standalone),,,,,,material/school
Practical Deep Learning,,,,https://course.fast.ai/,ML+AI,Courses,,,open courses - training in ML and AI (standalone),,,,,,material/school
TeachOpenCADD,https://github.com/volkamerlab/TeachOpenCADD,https://doi.org/10.1186/s13321-019-0351-x,,,ML+AI,Courses,,,a teaching platform offering tutorials on central topics in cheminformatics and structural bioinformatics.,738.0,07/2024,1 months ago,,38.0,material/school
AttFPGNN,https://github.com/sanomics-lab/AttFPGNN-MAML,https://doi.org/10.1021/acsomega.4c02147,,,ML+AI,Few shot learning,,,,2.0,04/2024,4 months ago,,0.0,fontawesome/solid/battery-quarter
KRGTS,https://github.com/Vencent-Won/KRGTS-public,https://doi.org/10.48550/arXiv.2405.15544,,,ML+AI,Few shot learning,,,,3.0,05/2024,3 months ago,,0.0,fontawesome/solid/battery-quarter
FewGS,https://github.com/zixiaodan-99/FewGS,,,,ML+AI,Few shot learning,,,"This repository contains source code and datasets for ""Few-Shot Graph and SMILES Learning for Molecular Property Prediction.""",0.0,07/2022,26 months ago,,,fontawesome/solid/battery-quarter
Few-Shot-Learning-for-Low-Data-Drug-Discovery,https://github.com/danielvlla/Few-Shot-Learning-for-Low-Data-Drug-Discovery,https://doi.org/10.1021/acscentsci.6b00367).,,,ML+AI,Few shot learning,,,,16.0,06/2022,26 months ago,,0.0,fontawesome/solid/battery-quarter
FS-Mol,https://github.com/microsoft/FS-Mol/,https://arxiv.org/abs/2002.08264v1,,,ML+AI,Few shot learning,,,A Few-Shot Learning Dataset of Molecules,156.0,12/2021,33 months ago,,,fontawesome/solid/battery-quarter
Meta-MGNN,https://github.com/zhichunguo/Meta-MGNN,,,,ML+AI,Few shot learning,,,,132.0,02/2023,18 months ago,,,fontawesome/solid/battery-quarter
MHNfs,https://github.com/ml-jku/MHNfs?tab=readme-ov-file#setup,https://openreview.net/pdf?id=XrMWUuEevr,,,ML+AI,Few shot learning,,,"Context-enriched molecule representations improve few-shot drug discovery, available on **[HuggingFace](https://huggingface.co/spaces/ml-jku/mhnfs)**",13.0,04/2024,4 months ago,,,fontawesome/solid/battery-quarter
MolFesCue,https://github.com/zhangruochi/MolFeSCue,,,,ML+AI,Few shot learning,,,molecular property prediction in Data-Limited and imbalanced contexts using Few-Shot and contrastive learning,8.0,06/2024,3 months ago,,,fontawesome/solid/battery-quarter
PG-DERN,https://github.com/Bombtsti/PG-DERN,https://doi.org/10.48550/arXiv.2107.07994,,,ML+AI,Few shot learning,,,,0.0,03/2024,6 months ago,,0.0,fontawesome/solid/battery-quarter
MolecularGPT,https://github.com/NYUSHCS/MolecularGPT,https://doi.org/10.48550/arXiv.2406.12950,,,ML+AI,Few shot learning,LLM,,,13.0,07/2024,2 months ago,,0.0,fontawesome/solid/battery-quarter
The Annotated Transformer,,https://nlp.seas.harvard.edu/annotated-transformer/,,,ML+AI,Important Papers,,,,,,,,,material/paperclip-check
The First Law of Complexodynamics,,https://scottaaronson.blog/?p=762,,,ML+AI,Important Papers,,,,,,,,,material/paperclip-check
The Unreasonable Effectiveness of Recurrent Neural Networks,,https://karpathy.github.io/2015/05/21/rnn-effectiveness/,,,ML+AI,Important Papers,,,,,,,,,material/paperclip-check
Understanding LSTM Networks,,https://colah.github.io/posts/2015-08-Understanding-LSTMs/,,,ML+AI,Important Papers,,,,,,,,,material/paperclip-check
Recurrent Neural Network Regularization,,https://doi.org/10.48550/arXiv.1409.2329,,,ML+AI,Important Papers,,,,,,,,0.0,material/paperclip-check
Keeping Neural Networks Simple by Minimizing the Description Length of the Weights,,https://www.cs.toronto.edu/~hinton/absps/colt93.pdf,,,ML+AI,Important Papers,,,,,,,,,material/paperclip-check
Pointer Networks,,https://doi.org/10.48550/arXiv.1506.03134,,,ML+AI,Important Papers,,,,,,,,0.0,material/paperclip-check
Order Matters: Sequence to sequence for sets,,https://doi.org/10.48550/arXiv.1511.06391,,,ML+AI,Important Papers,,,,,,,,0.0,material/paperclip-check
ImageNet classification with deep convolutional neural networks,,https://doi.org/10.1145/3065386,,,ML+AI,Important Papers,,,,,,,,22298.0,material/paperclip-check
GPipe: Efficient Training of Giant Neural Networks using Pipeline Parallelism,,https://doi.org/10.48550/arXiv.1811.06965,,,ML+AI,Important Papers,,,,,,,,0.0,material/paperclip-check
Deep Residual Learning for Image Recognition,,https://doi.org/10.48550/arXiv.1512.03385,,,ML+AI,Important Papers,,,,,,,,0.0,material/paperclip-check
Multi-Scale Context Aggregation by Dilated Convolutions,,https://doi.org/10.48550/arXiv.1511.07122,,,ML+AI,Important Papers,,,,,,,,0.0,material/paperclip-check
Neural Message Passing for Quantum Chemistry,,https://doi.org/10.48550/arXiv.1704.01212,,,ML+AI,Important Papers,,,,,,,,0.0,material/paperclip-check
Attention is all you need,,https://doi.org/10.48550/arXiv.1706.03762,,,ML+AI,Important Papers,,,,,,,,0.0,material/paperclip-check
Neural Machine Translation by Jointly Learning to Align and Translate,,https://doi.org/10.48550/arXiv.1409.0473,,,ML+AI,Important Papers,,,,,,,,0.0,material/paperclip-check
Identity Mappings in Deep Residual Networks,,https://doi.org/10.48550/arXiv.1603.05027,,,ML+AI,Important Papers,,,,,,,,0.0,material/paperclip-check
A Simple NN Module for Relational Reasoning,,https://doi.org/10.48550/arXiv.1706.01427,,,ML+AI,Important Papers,,,,,,,,0.0,material/paperclip-check
Variational Lossy Autoencoder,,https://doi.org/10.48550/arXiv.1611.02731,,,ML+AI,Important Papers,,,,,,,,0.0,material/paperclip-check
Relational recurrent neural networks,,https://doi.org/10.48550/arXiv.1806.01822,,,ML+AI,Important Papers,,,,,,,,0.0,material/paperclip-check
Quantifying the Rise and Fall of Complexity in Closed Systems: The Coffee Automaton,,https://doi.org/10.48550/arXiv.1405.6903,,,ML+AI,Important Papers,,,,,,,,0.0,material/paperclip-check
Neural Turing Machines,,https://doi.org/10.48550/arXiv.1410.5401,,,ML+AI,Important Papers,,,,,,,,0.0,material/paperclip-check
Deep Speech 2: End-to-End Speech Recognition in English and Mandarin,,https://doi.org/10.48550/arXiv.1512.02595,,,ML+AI,Important Papers,,,,,,,,0.0,material/paperclip-check
Scaling Laws for Neural Language Models,,https://doi.org/10.48550/arXiv.2001.08361,,,ML+AI,Important Papers,,,,,,,,0.0,material/paperclip-check
A Tutorial Introduction to the Minimum Description Length Principle,,https://doi.org/10.48550/arXiv.math/0406077,,,ML+AI,Important Papers,,,,,,,,0.0,material/paperclip-check
Machine Super Intelligence,,https://www.vetta.org/documents/Machine_Super_Intelligence.pdf,,,ML+AI,Important Papers,,,,,,,,,material/paperclip-check
XGNNBOOST,https://github.com/chenxiaowei-vincent/XGraphBoost,,,,ML+AI,ML Models,,,"XGBOOST is an algorithm combining GNN and XGBOOST, which can introduce the machine learning algorithm XGBOOST under the existing GNN network architecture to improve the algorithm capability (standalone)",55.0,07/2021,38 months ago,,,simple/adobeillustrator
ProximityGraphNetwork,https://github.com/keiserlab/torch_pgn,https://doi.org/10.1021/acs.jcim.4c00311,,,ML+AI,ML Models,NN,PGN,Proximity Graph Networks,6.0,07/2024,2 months ago,,0.0,simple/adobeillustrator
AIRS,https://github.com/divelab/AIRS/tree/main,https://doi.org/10.48550/arXiv.2307.08423,,,ML+AI,ML+AI frameworks for chemistry,,,"AIRS is a collection of open-source software tools, datasets, and benchmarks associated with our paper entitled “Artificial Intelligence for Science in Quantum, Atomistic, and Continuum Systems”",488.0,09/2024,0 months ago,,0.0,simple/adobeillustrator
AMPL,https://github.com/ATOMScience-org/AMPL,https://doi.org/10.1021/acs.jcim.9b01053,,,ML+AI,ML+AI frameworks for chemistry,,,A Data-Driven Modeling Pipeline for Drug Discovery (ATOM Modeling PipeLine) (standalone),136.0,09/2024,0 months ago,,56.0,simple/adobeillustrator
cgcnn,https://github.com/txie-93/cgcnn,https://doi.org/10.1103/PhysRevLett.120.145301,,,ML+AI,ML+AI frameworks for chemistry,,,,628.0,09/2021,36 months ago,,1265.0,simple/adobeillustrator
chainer-chemistry,https://github.com/chainer/chainer-chemistry,https://arxiv.org/abs/1807.01985,,,ML+AI,ML+AI frameworks for chemistry,,,,629.0,10/2020,47 months ago,,,simple/adobeillustrator
ChemML,https://github.com/hachmannlab/chemml,https://doi.org/10.1002/wcms.1458,,,ML+AI,ML+AI frameworks for chemistry,,,,160.0,10/2023,11 months ago,,41.0,simple/adobeillustrator
chemml,https://github.com/hachmannlab/chemml,,,https://hachmannlab.github.io/chemml/,ML+AI,ML+AI frameworks for chemistry,,,,160.0,10/2023,11 months ago,,,simple/adobeillustrator
chemprop,https://github.com/chemprop/chemprop,https://doi.org/10.1021/acs.jcim.9b00237,,,ML+AI,ML+AI frameworks for chemistry,,,,1689.0,09/2024,0 months ago,,906.0,simple/adobeillustrator
DeepChem,https://github.com/deepchem/deepchem,https://books.google.fr/books/about/Deep_Learning_for_the_Life_Sciences.html?id=5uiRDwAAQBAJ&redir_esc=y,,,ML+AI,ML+AI frameworks for chemistry,,,,5389.0,09/2024,0 months ago,,,simple/adobeillustrator
DeepMol,https://github.com/BioSystemsUM/DeepMol,https://doi.org/10.1101/2024.05.27.595849,,,ML+AI,ML+AI frameworks for chemistry,,,a python-based machine and deep learning framework for drug discovery (standalone),102.0,09/2024,0 months ago,,0.0,simple/adobeillustrator
DGL-LifeSci,https://github.com/awslabs/dgl-lifesci,https://doi.org/10.1021/acsomega.1c04017,,,ML+AI,ML+AI frameworks for chemistry,,,,710.0,04/2023,17 months ago,,96.0,simple/adobeillustrator
Minervachem,https://github.com/lanl/minervachem,https://doi.org/10.26434/chemrxiv-2024-r81c8,,,ML+AI,ML+AI frameworks for chemistry,,,,9.0,07/2024,1 months ago,,0.0,simple/adobeillustrator
Minerva-Chem,https://github.com/lanl/minervachem,https://doi.org/10.26434/chemrxiv-2024-r81c8,,,ML+AI,ML+AI frameworks for chemistry,,,,9.0,07/2024,1 months ago,,0.0,simple/adobeillustrator
MolFlux,https://github.com/Exscientia/molflux,,,https://exscientia.github.io/molflux/,ML+AI,ML+AI frameworks for chemistry,,,,83.0,09/2024,0 months ago,,,simple/adobeillustrator
MolProphet,,,https://www.molprophet.com/,,ML+AI,ML+AI frameworks for chemistry,,,"A One-Stop, General Purpose, and AI-Based Platform for the Early Stages of Drug Discovery (needs registration) (online, 2024).",,,,,,simple/adobeillustrator
olorenchemengine,https://github.com/Oloren-AI/olorenchemengine,,,,ML+AI,ML+AI frameworks for chemistry,,,,96.0,08/2023,12 months ago,,,simple/adobeillustrator
OpenChem,https://github.com/Mariewelt/OpenChem,https://doi.org/10.1021/acs.jcim.0c00971,,,ML+AI,ML+AI frameworks for chemistry,,,,669.0,04/2022,28 months ago,,48.0,simple/adobeillustrator
pytorch-geometric,,,,https://pytorch-geometric.readthedocs.io/en/latest/,ML+AI,ML+AI frameworks for chemistry,,,,,,,,,simple/adobeillustrator
Scikit-mol,https://github.com/EBjerrum/scikit-mol,,,https://pypi.org/project/scikit-mol/,ML+AI,ML+AI frameworks for chemistry,,,Scikit-Learn classes for molecular vectorization using RDKit (standalone),101.0,04/2024,4 months ago,,,simple/adobeillustrator
Summit,https://github.com/sustainable-processes/summit,https://doi.org/10.1002/cmtd.202000051).,,,ML+AI,ML+AI frameworks for chemistry,,,,118.0,07/2024,1 months ago,,0.0,simple/adobeillustrator
TorchDrug,https://github.com/DeepGraphLearning/torchdrug/,https://doi.org/10.48550/arXiv.2202.08320,,https://torchdrug.ai/,ML+AI,ML+AI frameworks for chemistry,,,A powerful and flexible machine learning platform for drug discovery,1423.0,07/2023,14 months ago,,0.0,simple/adobeillustrator
DeepMol,https://github.com/BioSystemsUM/DeepMol,https://doi.org/10.1101/2024.05.27.595849,,,ML+AI,ML+AI frameworks for chemistry,,,,102.0,09/2024,0 months ago,,0.0,simple/adobeillustrator
A Systematic Survey in Geometric Deep Learning for Structure-based Drug Design [2023],,https://arxiv.org/abs/2306.11768,,,ML+AI,Reviews,,,,,,,,,material/message-draw
